ZIP_CODE,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years,Sex and Age - Total population - 18 years and over,Sex and Age - Total population - 18 years and over - Female,Sex and Age - Total population - 21 years and over,Employment Status - Females 16 years and over,Employment Status - Population 16 years and over,Sex and Age - Total population - 16 years and over,Health Insurance Coverage - Civilian noninstitutionalized population,Sex and Age - Total population - Female
18424,3080,4200.0,2180.0,4086.0,2228,4337,4337.0,5154,2642.0
18425,617,890.0,395.0,885.0,398,893,893.0,1011,449.0
18426,2079,3107.0,1436.0,3051.0,1458,3169,3169.0,3530,1639.0
18428,6555,10467.0,4953.0,10007.0,5169,10781,10781.0,12004,5813.0
18430,45,70.0,34.0,63.0,34,70,70.0,75,37.0
18431,7009,10242.0,5294.0,9918.0,5420,10525,10525.0,12402,6357.0
18433,4285,5581.0,2980.0,5456.0,3090,5842,5842.0,6838,3599.0
18434,2327,2998.0,1623.0,2979.0,1662,3076,3076.0,3869,2014.0
18435,363,940.0,433.0,883.0,459,966,966.0,1023,483.0
18436,7334,10631.0,5094.0,10150.0,5252,10899,10899.0,12690,6148.0
18437,92,138.0,75.0,130.0,77,140,140.0,159,87.0
18438,620,1003.0,443.0,982.0,443,1012,1012.0,1183,508.0
18439,303,371.0,169.0,347.0,169,382,382.0,472,214.0
18440,22,37.0,15.0,37.0,15,37,37.0,37,15.0
18441,244,395.0,247.0,369.0,247,395,395.0,415,247.0
18443,174,253.0,128.0,253.0,143,268,268.0,380,203.0
18444,8056,11035.0,5563.0,10778.0,5792,11415,11415.0,14010,7197.0
18445,1271,1880.0,960.0,1847.0,966,1908,1908.0,2437,1175.0
18446,1871,2767.0,1420.0,2690.0,1464,2841,2841.0,3359,1724.0
18447,5772,8143.0,4520.0,7815.0,4731,8582,8582.0,10299,5559.0
18451,249,482.0,256.0,461.0,256,482,482.0,560,296.0
18452,2369,4186.0,2521.0,4112.0,2537,4223,4223.0,4881,2962.0
18453,614,935.0,476.0,908.0,492,973,973.0,1236,683.0
18454,16,87.0,40.0,87.0,40,87,87.0,94,40.0
18455,8,98.0,53.0,98.0,59,104,104.0,114,64.0
18456,142,198.0,92.0,196.0,92,206,206.0,223,106.0
18457,45,45.0,13.0,45.0,28,73,73.0,123,52.0
18458,2068,2895.0,1339.0,2858.0,1416,3021,3021.0,3603,1822.0
18460,59,137.0,80.0,134.0,80,137,137.0,179,86.0
18461,119,199.0,112.0,190.0,112,199,199.0,203,114.0
18462,347,450.0,212.0,423.0,225,473,473.0,554,261.0
18463,146,236.0,109.0,230.0,109,236,236.0,242,109.0
18464,876,1239.0,651.0,1216.0,687,1347,1347.0,1550,802.0
18465,735,1020.0,476.0,989.0,484,1039,1039.0,1206,564.0
18466,11109,13870.0,7066.0,12729.0,7216,14181,14181.0,17427,8409.0
18469,143,367.0,148.0,367.0,148,367,367.0,405,160.0
18470,1123,1664.0,801.0,1581.0,804,1686,1686.0,1899,889.0
18471,312,436.0,188.0,416.0,200,448,448.0,529,229.0
18472,2410,6432.0,1662.0,6266.0,1705,6524,6524.0,4173,2105.0
18473,237,318.0,179.0,282.0,179,318,318.0,360,199.0
18503,656,1208.0,379.0,1029.0,389,1230,1230.0,928,389.0
18504,12003,15911.0,8074.0,15257.0,8401,16528,16528.0,20536,10432.0
18505,11990,16284.0,8527.0,15225.0,8766,16949,16949.0,21352,10833.0
18507,3326,4391.0,2205.0,4247.0,2255,4512,4512.0,5480,2689.0
18508,6548,8982.0,4596.0,8511.0,4736,9243,9243.0,10925,5821.0
18509,8127,11607.0,5600.0,10727.0,5738,12049,12049.0,13179,6769.0
18510,8429,11133.0,5798.0,8580.0,6027,11588,11588.0,12963,6813.0
18512,7634,10281.0,5314.0,10038.0,5403,10449,10449.0,12628,6493.0
18517,3061,4311.0,2416.0,4167.0,2528,4518,4518.0,5075,2913.0
18518,4923,6790.0,3577.0,6641.0,3590,6830,6830.0,8494,4277.0
18519,2982,4072.0,2191.0,3945.0,2273,4219,4219.0,5236,2854.0
18602,170,244.0,118.0,239.0,123,255,255.0,386,206.0
18603,11521,15968.0,8168.0,15493.0,8315,16367,16367.0,19351,9736.0
18610,2539,3541.0,1899.0,3090.0,1916,3608,3608.0,4385,2480.0
18612,9147,15346.0,6595.0,14245.0,6849,15815,15815.0,15706,8324.0
18614,1064,1625.0,815.0,1577.0,821,1640,1640.0,1831,899.0
18615,974,1443.0,706.0,1399.0,777,1517,1517.0,1754,900.0
18616,383,667.0,344.0,666.0,349,679,679.0,703,387.0
18617,1026,1275.0,594.0,1211.0,624,1305,1305.0,1461,669.0
18618,2143,3022.0,1501.0,2986.0,1527,3078,3078.0,3627,1836.0
18619,80,125.0,71.0,120.0,71,126,126.0,137,76.0
18621,2928,5089.0,2205.0,4986.0,2300,5214,5214.0,4975,2756.0
18622,84,123.0,64.0,116.0,64,123,123.0,159,100.0
18623,1341,1846.0,924.0,1805.0,956,1906,1906.0,2332,1167.0
18624,256,400.0,186.0,400.0,186,411,411.0,433,208.0
18625,73,108.0,75.0,108.0,75,108,108.0,108,75.0
